Tm,Lex,Luhn,Lsa,Tr,LDA
267.72,0.013033661520018315,293,0.23463172888472222,0.0048972945681621145,0.7871403290503924
125.12,0.010894138716520417,155,0.1729582188176848,0.005640168253495796,0.7785746980614707
140.76000000000002,0.010873015387695332,172,0.23979988242317832,0.004757690092433792,0.7796028853044062
235.52,0.010622800586694991,202,0.20389092990261753,0.004786472780173041,0.7785223224751219
310.04,0.004759879157067461,185,0.2234658184972403,0.0024123519319397225,0.776707089141118
324.76,0.011122668081522598,190,0.21795575542564039,0.005288165980574202,0.7838237156467129
125.12,0.00922893224545206,181,0.20424874319700936,0.004601594917471428,0.7819244588933499
141.68,0.00920686294349727,187,0.20312872649727973,0.004371822330898642,0.7789073957344772
166.52,0.009411814956974572,177,0.2162354941806935,0.00420109983287428,0.7770359342401373
181.24,0.008919537801333777,244,0.2845793830270581,0.0031661944794588153,0.7834567888866061
208.84,0.008351649880247147,202,0.23706104831348684,0.004263994273169014,0.7835324398133434
65.32000000000001,0.011108216449619105,166,0.2557396329596306,0.0050025481560616696,0.7786819920800472
195.04000000000002,0.008380575707557443,222,0.22037230734224605,0.004393827042442576,0.7822269681853133
283.36,0.004480842301036196,284,0.1906745340290839,0.0018561966127689942,0.7869598260424446
414.0,0.007332527957781715,241,0.18455585026990948,0.002301931390737178,0.782618922226535
149.96,0.0055296550507792095,256,0.18058473498818703,0.0026139865120739974,0.784499314775104
80.04,0.011934430848345067,162,0.2744908205722074,0.0052883910232569995,0.7788121524209637
233.68,0.008940491477686116,137,0.26392372817682846,0.004431974038620242,0.7778890821663698
319.24,0.009845142370740953,156,0.1937322896698222,0.003205744443696499,0.7813652556572188
201.48000000000002,0.009177402806739574,218,0.20040499192214495,0.004445491127529234,0.7804720086606816
101.2,0.010575900409782513,165,0.27672016711368813,0.005980266907098837,0.7760405696956192
281.52000000000004,0.008066405117653944,196,0.24724846666332428,0.003003931853713097,0.7819973700662085
187.68,0.012593688721248643,223,0.27127975301470764,0.004842767023542705,0.7816925975207727
155.48000000000002,0.008713945726990387,181,0.2215097187379468,0.004028213578221906,0.7804450968574341
99.36,0.013491240997183873,207,0.1993517625005171,0.005570182052816205,0.7820037042608388
92.0,0.014408788634744468,147,0.17975160582263672,0.005802263101067584,0.7754854970411498
457.24,0.006715303727227421,171,0.22525664542079474,0.0022142128320221275,0.7791328753576624
287.04,0.007197556247131458,279,0.3589475312834429,0.0023181250716936257,0.7861947062470875
575.9200000000001,0.012336516124738623,182,0.18253750580849035,0.004091915763236752,0.7783108145520977
202.4,0.008250178821255278,226,0.23828899388068367,0.0036049898100915423,0.7806779086901567
251.16000000000003,0.00890170397341373,224,0.18188521375031436,0.0033122951301997774,0.7831638244733803
358.8,0.004996333656487558,222,0.21609949091019762,0.0022373072879971465,0.78291713447973
188.6,0.0077682338768202625,181,0.30644937391165106,0.0033310775561828754,0.7789841080787269
120.52000000000001,0.008965413449669533,212,0.19077457929541536,0.003954532462761083,0.7847319917395008
163.76000000000002,0.011950938331249479,181,0.3581393140883996,0.006081142725024658,0.77905362254029
93.84,0.011518718233991513,131,0.3552357612253717,0.005944248520424736,0.7725188516749971
104.88000000000001,0.010356790953491556,224,0.326524923043691,0.004812695820965825,0.781486208792998
251.16000000000003,0.007572967946872257,237,0.1969226660782485,0.003559659985719634,0.7849232438760624
348.68,0.0076934783876539065,225,0.21650986308944484,0.0022633180067196156,0.7860744752929658
190.44,0.012710035589220962,165,0.21950023204091007,0.006050406214320506,0.7777971359261636
467.36,0.00587319733794704,251,0.26627919703208025,0.002069791378398277,0.7848133578636175
315.56,0.005788622921412151,157,0.1549694952210147,0.002999624115157282,0.7758676246224341
278.76,0.004926245997774774,187,0.23056230318549797,0.0021602096305498785,0.7823314824439667
241.96,0.006921428385219039,239,0.3163973917361406,0.0026372211815594033,0.784323822888855
95.68,0.013131271529927352,189,0.27878624994805745,0.006065851111367218,0.7802347057172803
534.52,0.003776474474571975,249,0.24681207713465175,0.0015129366841388791,0.7830209560986559
179.4,0.014018565341453668,193,0.2040462177261389,0.006029213176779108,0.78075162008152
171.12,0.012777984854867403,160,0.33194937480201864,0.005790303769642709,0.7799358013802187
221.72,0.009283732025076818,192,0.2400808628710308,0.003533235152267138,0.7794986298390627
